No.,カテゴリ,要求レベル,設問内容,補足・例,日付,担当者名,チェック,判断根拠
1,属性及び属性値の列挙抽出,Required,"入力データには、機械学習要素に機能要件として要求される出力の違いを特徴付ける属性が存在する
",ラベルに相当する列が入力データに含まれる,,,〇,
2,属性及び属性値の列挙抽出,Required,入力データには、出力が同一であっても、機械学習要素に機能仕様レベルで明示的に対応が要求される属性が存在する,"例1. 文字認識における「l とℓ」や「1 と｜」などが、「どちらも正しく認識する
こと」と仕様で定められている
例2. 自動運転において回避すべき物体として「歩行者」「自転車」「交差交通の自
動車」などが指定されている場合に、それぞれの物体情報が入力データに含まれる",,,〇,
3,属性及び属性値の列挙抽出,Required,入力データには、機械学習要素に期待される性能について、実運用時の性能劣化リスクが大きく異なる可能性の高い属性が存在する,"例. 屋外の物体認識において、「天候」「昼夜の別」「逆光・順光」「移動速度」な
どが入力データに含まれる",,,〇,
4,属性及び属性値の列挙抽出,Required,入力データに、機械学習の特性上、期待される出力が同一であっても、学習結果のモデルが共通性を見いだしづらい・別のものとして内部的に認識する可能性のある要素が含まれているかをチェックする,"例. 屋外の物体認識において昼間と夜間では物体の異なる特徴を捉える可能性や、
交通信号機の縦横の区別をつける必要があるか。ある場合は、それぞれに該当するデータが入力データに含まれているか",,,－,
5,属性及び属性値の列挙抽出,Required,学習用にデータを収集する際に、「均等に集めてくる」方法をプロセスとして定めることが難しい特性が含まれているか,「均等に集めてくる」ことが難しいかの確認。および対策がなされているか,,,－,
6,属性及び属性値の列挙抽出,Required,上記のような差異はないが、人が容易に把握できる対象の差異が含まれているか,例. 動物の種類の違いや、皮膚の色など,,,－,
7,属性及び属性値の列挙抽出,Required,入力データに人が言語で特徴を認識・説明できない対象が含まれているか。含まれている場合、十分に偏りのないサンプル抽出が用意されているか,"例. 数字の 8 のありとあらゆる書き方を事前に分析することは困難であるが、十分に大量のサンプルを無作為的に用意すれば、偏りのない標本抽出になっていると期待でき
る",,,－,
8,属性及び属性値の列挙抽出,Required,入力データに差異を機械的に網羅補完することが極めて容易なものが含まれている場合、必要十分なデータが用意されていることを確認する,例. 画像の並行移動や色の変化、一定の範囲での回転拡大などは、要求仕様が一旦定まれば画像処理により機械的に用意できる,,,〇,
9,除外する属性組み合わせの検討,Required,除外する属性の組み合わせが検討されているか,例.  物体検知において。天候が雪かつ気温が40度という状況は発生しない。このような現実的にあり得ない、もしくは、考慮する必要のない属性の組み合わせが除外されている,,,〇,
10,品質レベルごとの要求事項,Lv1,主要な品質低下リスクが発生する原因について検討を行い記録する,-,,,〇,
11,品質レベルごとの要求事項,Lv1,その検討結果に基づき、データの設計を行い必要な属性などに反映する,-,,,－,
12,品質レベルごとの要求事項,Lv2,システム全体での利用時品質低下リスクとその影響について、工学的に一定の網羅性をもつ分析を行い、文書として記録する,-,,,,
13,品質レベルごとの要求事項,Lv2,それぞれのリスクについて対策の要否を分析し、機械学習要素への入力においてそのリスクに対応する特徴となる属性について分析を行う,-,,,,
14,品質レベルごとの要求事項,Lv2,また、応用に即した機械学習要素の入力をもたらす環境の特徴について、機械学習の容易さなどの分析を行い記録する,-,,,,
15,品質レベルごとの要求事項,Lv2,これらの分析結果に基づいて属性と属性値のセットの検討を行い、その決定の経緯を記録する,-,,,,
16,品質レベルごとの要求事項,Lv2,システムの利用環境の特徴量として捉えるべき要素について、過去の自己・他者の検討結果などの文献調査を行い、必要な集合の抽出に至る検討経緯を記録する,-,,,,
17,品質レベルごとの要求事項,Lv3,システム全体の利用時品質低下リスクについても、そのシステムの応用分野に即した過去の検討結果などを調査し、取捨選択の経緯も含めて検討経緯を記録する,-,,,,
18,品質レベルごとの要求事項,Lv3,また、システム全体の利用時品質低下リスクについては、Fault Tree Analysisなどの工学的分析を用いた抽出も行い、その結果を記録する,-,,,,
